DATE,REGION,GRADE
26,Sirdaryo Region,Grade 10
26,Sirdaryo Region,Grade 10
26,Tashkent region,Grade 11
26,Navoiy region,Grade 11
26,Tashkent city,Grade 10
26,Sirdaryo Region,Grade 9
26,Namangan Region,Grade 11
26,Andijan region,Grade 11
26,Namangan Region,Grade 9
26,Surxondaryo Region,Grade 11
26,Tashkent city,Grade 11
26,Fergana region,Grade 10
26,Samarkand region,Grade 11
26,Fergana region,Grade 10
26,Sirdaryo Region,Grade 9
26,Qashqadaryo Region,Grade 11
26,Fergana region,Grade 11
26,Samarkand region,Grade 10
26,Andijan region,Grade 11
26,Samarkand region,Grade 10
26,Fergana region,Grade 9
26,Tashkent region,Grade 10
26,Samarkand region,Grade 10
26,Navoiy region,Grade 10
26,Sirdaryo Region,Grade 10
26,Jizzakh Region,Grade 10
26,Karakalpakstan republic,Grade 10
26,Tashkent city,Grade 10
26,Andijan region,Grade 11
26,Karakalpakstan republic,Grade 11
26,Tashkent city,Grade 10
26,Tashkent city,Grade 11
26,Surxondaryo Region,Grade 11
26,Tashkent city,Grade 11
26,Tashkent region,Grade 10
26,Navoiy region,Grade 9
26,Navoiy region,Grade 11
26,Jizzakh Region,Grade 10
26,Bukhara region,Grade 11
26,Samarkand region,Grade 10
26,Sirdaryo Region,Grade 11
26,Andijan region,Grade 11
26,Tashkent city,Grade 9
26,Tashkent city,Grade 11
26,Tashkent city,Grade 10
26,Sirdaryo Region,Grade 11
26,Tashkent region,Grade 10
26,Sirdaryo Region,Grade 11
26,Tashkent city,Grade 10
26,Tashkent city,Grade 9
26,Qashqadaryo Region,Grade 11
26,Andijan region,Grade 11
27,Samarkand region,Grade 10
27,Tashkent region,Grade 10
27,Tashkent city,Grade 9
27,Jizzakh Region,Grade 10
27,Samarkand region,Grade 9
